kanji,kunReading,onReading,meaning,jisyo
一,ひと-、 ひと.つ,イチ、 イツ,one,https://jisho.org/search/%E4%B8%80%20%23kanji
二, ふた、 ふた.つ、 ふたたび,ニ、ジ,two,https://jisho.org/search/%E4%BA%8C%20%23kanji
三,み、 み.つ、 みっ.つ,サン、 ゾウ,three,https://jisho.org/search/%E4%B8%89%23kanji
四,よ、 よ.つ、 よっ.つ、 よん, シ,four,https://jisho.org/search/%E5%9B%9B%23kanji
五, いつ、 いつ.つ, ゴ,five,https://jisho.org/search/%E4%BA%94%23kanji
六, む、 む.つ、 むっ.つ、 むい,ロク、 リク,six,https://jisho.org/search/%E5%85%AD%23kanji
七, なな、 なな.つ、 なの,シチ,seven,https://jisho.org/search/%E4%B8%83%23kanji
八,や、 や.つ、 やっ.つ、 よう,ハチ,eight,https://jisho.org/search/%E5%85%AB%23kanji
九,ここの、 ここの.つ,キュウ、 ク,nine,https://jisho.org/search/%E4%B9%9D%23kanji
十,とお、 と,ジュウ、 ジッ、 ジュッ,ten,https://jisho.org/search/%E5%8D%81%23kanji
千,ち,セン,thousand,https://jisho.org/search/%E5%8D%83%23kanji
万,よろず,マン、 バン,"ten thousand, 10,000",https://jisho.org/search/%E4%B8%87%23kanji
魚,うお、 さかな、 -ざかな,ギョ,fish,https://jisho.org/search/%E9%AD%9A%23kanji
肉, しし, ニク,meat,https://jisho.org/search/%E8%82%89%23kanji
卵,たまご,ラン,"egg, ovum, spawn, roe",https://jisho.org/search/%E5%8D%B5%23kanji
水, みず、 みず-,スイ,water,https://jisho.org/search/%E6%B0%B4%23kanji
月,つき, ゲツ、 ガツ,"month, moon",https://jisho.org/search/%E6%9C%88%23kanji
火,ひ、 -び、 ほ-,カ,fire,https://jisho.org/search/%E7%81%AB%23kanji
水,みず、 みず-,スイ,water,https://jisho.org/search/%E6%B0%B4%23kanji
木,き、 こ-, ボク、 モク,"tree, wood",https://jisho.org/search/%E6%9C%A8%23kanji
金,かね、 かな-、 -がね,キン、コン、 ゴン,gold,https://jisho.org/search/%E9%87%91%23kanji
土,つち,ド、 ト,"soil, earth, ground, Turkey",https://jisho.org/search/%E5%9C%9F%23kanji
日,ひ、 -び、 -か,ニチ、 ジツ,"day, sun, Japan, counter for days",https://jisho.org/search/%E6%97%A5%23kanji
言,い.う、 こと, ゲン、 ゴン,"say, word",https://jisho.org/search/%E8%A8%80%23kanji
話,はな.す、 はなし,ワ,"tale, talk",https://jisho.org/search/%E8%A9%B1%23kanji
読,よ.む、 -よ.み,ドク、 トク、 トウ,read,https://jisho.org/search/%E8%AA%AD%23kanji
見, み.る、 み.える、 み.せる,ケン,"see, hopes, chances, idea, opinion, look at, visible",https://jisho.org/search/%E8%A6%8B%23kanji
聞,き.く、 き.こえる,ブン、 モン,"hear, ask, listen",https://jisho.org/search/%E8%81%9E%23kanji
書,か.く、 -が.き、 -がき, ショ,write,https://jisho.org/search/%E6%9B%B8%23kanji
食, く.う、 く.らう、た.べる、 は.む,ショク、 ジキ,"eat, food",https://jisho.org/search/%E9%A3%9F%23kanji
飲,の.む、 -の.み,イン、 オン,"drink, smoke, take",https://jisho.org/search/%E9%A3%B2%23kanji
大,おお-、おお.きい、 -おお.いに, ダイ、 タイ,"large, big",https://jisho.org/search/%E5%A4%A7%23kanji
小,ちい.さい、 こ-、 お-、 さ-, ショウ,"little, small",https://jisho.org/search/%E5%B0%8F%23kanji
新, あたら.しい、 あら.た、あら-、にい-, シン,new,https://jisho.org/search/%E6%96%B0%23kanji
古, ふる.い、 ふる-、 -ふる.す,み.つ、,old,https://jisho.org/search/%E5%8F%A4%23kanji
父,ちち,"みっ.つ",father,https://jisho.org/search/%E7%88%B6%23kanji
母,はは、 も, ボ,mother,https://jisho.org/search/%E6%AF%8D%23kanji
何, なに、 なん、 なに-、 なん-,カ,what,https://jisho.org/search/%E4%BD%95%23kanji
私,わたくし、わたし,シ,"private, I, me",https://jisho.org/search/%E7%A7%81%23kanji
買, か.う,バイ,buy,https://jisho.org/search/%E8%B2%B7%23kanji
円,まる.い、 まる、 まど、 まど.か、 まろ.やか,エン,"circle, yen, round",https://jisho.org/search/%E5%86%86%23kanji
百,もも,ヒャク、 ビャク,hundred,https://jisho.org/search/%E7%99%BE%23kanji
目,:め、 -め、 ま-,モク、 ボク,"eye, class, look, insight, experience, care, favor",https://jisho.org/search/%E7%9B%AE%23kanji
才,, サイ,"genius, years old, cubic shaku",https://jisho.org/search/%E6%89%8D%23kanji
口,くち,コウ、 ク,mouth,https://jisho.org/search/%E5%8F%A3%23kanji
高,たか.い、 たか、 -だか、たか.まる、 たか.める, コウ,"tall, high, expensive",https://jisho.org/search/%E9%AB%98%23kanji
行,い.く、 ゆ.く、 -ゆ.き、 -ゆき、 -い.き、 -いき、 おこな.う、 おこ.なう,コウ、 ギョウ、 アン,"going, journey, carry out, conduct, act, line, row, bank",https://jisho.org/search/%E8%A1%8C%23kanji
来,く.る、 きた.る、 きた.す、き.たす、 き.たる、 き、 こ,ライ、 タイ,"come, due, next, cause, become",https://jisho.org/search/%E6%9D%A5%23kanji
会,あ.う、 あ.わせる、 あつ.まる,カイ、 エ,"meeting, meet, party, association, interview, join",https://jisho.org/search/%E4%BC%9A%23kanji
休,やす.む、 やす.まる、 やす.める,キュウ,"rest, day off, retire, sleep",https://jisho.org/search/%E4%BC%91%23kanji
人, ひと、 -り、 -と,ジン、 ニン,person,https://jisho.org/search/%E4%BA%BA%23kanji
子,こ、 -こ、ね,シ、 ス、 ツ,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",https://jisho.org/search/%E5%AD%90%23kanji